Hid,Hname,Cutomer Ratings
USP39G,Vander Urbani Resort,9.7
GGY67H,Room 25 Belgrade,9.7
NLZ21J,Envoy Hotel,9.5
DZO31I,Public House Hotel,9.5
JOZ85U,Square nine,9.5
TYW85Q,Riverside residence,9.4
DEZ38C,Saint Ten Hotel,9.4
RXI68L,Old town,9.4
BCU27P,RuMa,9.3
YBY61X,Falkensteiner Hotel,9.3
WVL60W,Esplanade,9.3
XHJ70C,Mama Shelter Belgrade,9.2
YNM49J,Hotel Nox,9.2
KFG79B,The loop,9.1
KKW53Z,City Hotel,9.1
LUW53Y,Hotel Vila Katrca,9
KLE90I,Grand Hotel Union,9
WZS62Z,In Hotel,9
HSE99H,Hotel Moskva,9
LGK47N,uHotel,9
UOE81H,Adora Hotel,9
SKU14M,Dubrovnik,9
MMX89J,intercontinental,9
MHQ42O,Hotel Center,8.9
ZGN89W,Hyatt,8.9
WQC51K,Radisson Blu Plaza Hotel,8.9
HVB81C,Hotel Union,8.9
FUL65G,WUD Hotel,8.9
DKL61B,Opal home,8.9
NMT97S,Academia,8.9
CXJ29E,City Code Exclusive,8.9
PEM56S,Atelier Hotel,8.9
VZV86Q,Best western,8.9
FKG64B,Metropol palace,8.8
FVG78Y,Garni Hotel Apart K,8.8
XRZ40T,Best Western Premier Hotel ,8.8
BJA27Z,Palace,8.8
MYV18C,Austria Trend Hotel,8.8
IAH38X,Best Western Premier Hotel,8.8
WFW96U,Hotel Elegance,8.8
HCF40D,Hotel Bohemian Garni,8.8
VZJ76B,Hotel Majestic,8.7
OMP78Z,Hotel Mrak,8.7
BOQ33V,Four Points by Sheraton Ljubljana Mons,8.7
UVI31Y,Boutique,8.7
ISX14O,International,8.7
KEO91A,Rebro,8.7
KBW57K,Bristol,8.7
PLN28D,Double tree,8.7
WHI28P,Hotel Lev,8.7
ESM74M,Hotel Emonec,8.6
FSY14N,Radon plaza,8.6
TZM37X,Hotel Avalon Garni,8.6
CTB61X,Hills,8.5
MSA28L,Allegro Hotel,8.5
VGF36Y,Holiday inn,8.4
UJE47K,Orient ekspres,8.4
AAY27X,Forty two,8.4
ZRY91X,M Hotel,8.4
JOS31P,B&B Hotel Ljubljana Park,8.3
MNQ79M,Garden,8.3
DLX40Y,Europe,8.3
HDY26X,Hotel Rex,8.2
RXW38K,Tullip Inn Putnik,8.2
GKE13C,Fala,8
AMU17F,Viena,8
HFD18S,Grand,7.9
RKM92G,Hollywood,7.9
FMD95H,Saraj,7.9
VEZ14K,Hotel N,7.8
RGC25Y,Bit Center Hotel,7.7
IFM63A,Hayat,7.1
OZK60G,Zagreb,6.9
IBW52Y,Brkic,6.5
XAO35J,Hilton Belgrade,3
